beer_name,brand,style,abv,ibu,ingredients,flavor_profile,pairings,description
Yuengling Traditional Lager,Yuengling Brewery,American Lager,4.5,18,"water, barley, corn, hops, yeast","malty, smooth, lightly bitter, caramel","burgers, fried chicken, cheese","Yuengling Traditional Lager is a malty and smooth beer with a slight bitterness and caramel notes, perfect with burgers, fried chicken, and cheese"
BrewDog Punk IPA,BrewDog,India Pale Ale,5.6,60,"water, barley, hops, yeast","hoppy, citrusy, bitter, tropical fruit","spicy foods, burgers, grilled meats","BrewDog Punk IPA is a bold India Pale Ale with tropical fruit and citrusy flavors, combined with a strong hoppy bitterness, making it great with spicy foods and grilled meats"
Paulaner Hefe-Weißbier,Paulaner Brewery,Hefeweizen,5.5,14,"water, barley, wheat, hops, yeast","fruity, spicy, smooth, banana","grilled chicken, seafood, salads","Paulaner HefeWeibier is a smooth and fruity Hefeweizen with a hint of banana and spice, ideal for pairing with grilled chicken, seafood, and fresh salads"
Franziskaner Hefe-Weissbier,Franziskaner Brewery,Hefeweizen,5.0,15,"water, barley, wheat, hops, yeast","fruity, spicy, smooth, banana","grilled sausages, chicken wings, salads","Franziskaner HefeWeissbier is a classic Hefeweizen with fruity and spicy flavors, making it a perfect match for grilled sausages, chicken wings, and fresh salads"
Newcastle Brown Ale,Newcastle Brewery,Brown Ale,4.7,28,"water, barley, hops, yeast","nutty, malty, caramel, smooth","cheese, poultry, burgers","Newcastle Brown Ale is a malty and nutty brown ale with caramel flavors, perfect for pairing with cheese, poultry, and burgers"
Guinness Extra Stout,Guinness,Stout,5.6,50,"water, barley, hops, yeast","roasty, bitter, chocolate, coffee","roast meats, chocolate cake, blue cheese","Guinness Extra Stout is a robust stout with roasted malt, coffee, and chocolate flavors It pairs beautifully with roast meats, chocolate cake, and blue cheese"
La Chouffe,Brasserie d'Achouffe,Belgian Strong Ale,8.0,35,"water, barley, hops, yeast, coriander, orange peel","fruity, spicy, citrusy, smooth","grilled meats, cheese, salads","La Chouffe is a Belgian strong ale with fruity and spicy flavors, complemented by a hint of citrus and coriander, making it an excellent choice with grilled meats, cheese, and salads"
Founders All Day IPA,Founders Brewing Co.,Session IPA,4.7,42,"water, barley, hops, yeast","hoppy, citrusy, light, refreshing","spicy foods, fish tacos, chicken wings","Founders All Day IPA is a session IPA with a balanced citrusy hop profile, making it refreshing and ideal for pairing with spicy foods like fish tacos and chicken wings"
St. Bernardus Abt 12,St. Bernardus Brewery,Quadrupel,10.5,35,"water, barley, hops, yeast, sugar","dark fruit, caramel, malty, rich","roast meats, blue cheese, dark chocolate","St Bernardus Abt 12 is a rich, malty quadrupel with dark fruit and caramel notes, making it perfect for pairing with roast meats, blue cheese, and dark chocolate"
Duvel,Brouwerij Duvel Moortgat,Belgian Golden Strong Ale,8.5,30,"water, barley, hops, yeast","fruity, spicy, malty, dry","seafood, grilled meats, spicy food","Duvel is a Belgian golden strong ale with a fruity, spicy aroma and a dry finish, making it perfect with seafood, grilled meats, or spicy dishes"
Warsteiner,Warsteiner Brewery,Pilsner,4.8,30,"water, barley, hops, yeast","crisp, refreshing, slightly bitter","sausage, fried foods, pretzels","Warsteiner is a crisp and refreshing pilsner with a slight bitterness, ideal for pairing with sausage, fried foods, and pretzels"
Bell's Two Hearted Ale,Bell's Brewery,American IPA,7.0,55,"water, barley, hops, yeast","hoppy, citrusy, piney, floral","burgers, spicy wings, grilled meats","Bells Two Hearted Ale is an American IPA with bold citrusy and piney hop flavors, making it an excellent match for burgers, spicy wings, and grilled meats"
Fat Tire Amber Ale,New Belgium Brewing,Amber Ale,5.2,22,"water, barley, hops, yeast","malty, caramel, smooth, slightly hoppy","burgers, chicken, grilled vegetables","Fat Tire Amber Ale is a smooth amber ale with a malty caramel flavor and a slight hoppy finish, perfect with burgers, chicken, and grilled vegetables"
Ballast Point Sculpin IPA,Ballast Point Brewing,IPA,7.0,70,"water, barley, hops, yeast","hoppy, fruity, bitter, tropical","spicy dishes, fried seafood, cheese","Ballast Point Sculpin IPA is a bold IPA with tropical fruit flavors and a strong hoppy bitterness, making it perfect with spicy dishes, fried seafood, and cheese"
Schneider Weisse Original,Weisses Bräuhaus G. Schneider & Sohn,Hefeweizen,5.4,14,"water, barley, wheat, hops, yeast","fruity, spicy, smooth, banana","grilled meats, cheese, sausage","Schneider Weisse Original is a traditional Hefeweizen with fruity banana and spicy yeast flavors, great with grilled meats, cheese, and sausages"
Yuengling Light Lager,Yuengling Brewery,Light Lager,3.2,12,"water, barley, corn, hops, yeast","light, refreshing, mild","light snacks, salads, grilled chicken","Yuengling Light Lager is a light and refreshing lager with mild flavors, ideal for pairing with light snacks, salads, or grilled chicken"
Dogfish Head 60 Minute IPA,Dogfish Head Craft Brewery,IPA,6.0,60,"water, barley, hops, yeast","hoppy, citrusy, piney, balanced","spicy dishes, fried foods, burgers","Dogfish Head 60 Minute IPA is a wellbalanced IPA with a blend of citrusy and piney hop flavors, perfect for pairing with spicy dishes, fried foods, and burgers"
Red Stripe,Desnoes & Geddes,Lager,4.7,14,"water, barley, hops, yeast","light, crisp, refreshing","grilled seafood, jerk chicken, salads","Red Stripe is a crisp, light lager known for its refreshing taste, making it an excellent choice with grilled seafood, jerk chicken, or fresh salads"
Miller High Life,Miller Brewing Company,American Lager,4.6,10,"water, barley, corn, hops, yeast","crisp, mild, refreshing","fried chicken, pizza, grilled meats","Miller High Life is an American lager known for its crisp and mild flavor, making it a great pairing with fried chicken, pizza, and grilled meats"
Cerveza Modelo Especial,Grupo Modelo,Pilsner,4.4,18,"water, barley, corn, hops, yeast","light, crisp, slightly sweet","tacos, grilled seafood, nachos","Cerveza Modelo Especial is a light and crisp pilsner with a slightly sweet taste, perfect with tacos, grilled seafood, or nachos"
Killian's Irish Red,Coors Brewing Company,Irish Red Ale,4.9,18,"water, barley, hops, yeast","malty, caramel, smooth, slightly bitter","steak, grilled vegetables, burgers","Killians Irish Red is a malty and smooth Irish Red Ale with a hint of caramel sweetness and a slightly bitter finish, making it a perfect match with steak, grilled vegetables, or burgers"
Kronenbourg 1664,Brasseries Kronenbourg,Pilsner,5.0,15,"water, barley, hops, yeast","crisp, smooth, slightly floral","cheese, seafood, grilled chicken","Kronenbourg 1664 is a smooth and crisp pilsner with a slightly floral note, ideal for pairing with cheese, seafood, or grilled chicken"
Trappistes Rochefort 10,Brasserie Rochefort,Quadrupel,11.3,35,"water, barley, hops, yeast, sugar","dark fruit, spicy, malty, rich","roast meats, blue cheese, chocolate desserts","Trappistes Rochefort 10 is a rich, malty quadrupel with dark fruit and spicy flavors, making it an excellent choice with roast meats, blue cheese, and chocolate desserts"
Victory Golden Monkey,Victory Brewing Company,Belgian-style Tripel,9.5,30,"water, barley, hops, yeast, coriander","fruity, spicy, citrusy, smooth","cheese, roast chicken, fried foods","Victory Golden Monkey is a Belgianstyle Tripel with fruity, spicy, and citrusy flavors, making it a great pairing with cheese, roast chicken, or fried foods"
Schneider Weisse Aventinus,Weisses Bräuhaus G. Schneider & Sohn,Weizenbock,8.2,28,"water, barley, wheat, hops, yeast","banana, clove, malty, dark fruit","sausage, grilled meats, cheese","Schneider Weisse Aventinus is a weizenbock with banana, clove, and malty flavors, complemented by dark fruit notes, perfect for pairing with sausage, grilled meats, or cheese"
Samichlaus Classic,Eggenberg Brewery,Doppelbock,14.0,30,"water, barley, hops, yeast","rich, malty, caramel, smooth","roast meats, strong cheese, chocolate desserts","Samichlaus Classic is a rich, malty doppelbock with caramel and smooth flavors, making it an excellent match with roast meats, strong cheese, or chocolate desserts"
Sierra Nevada Torpedo Extra IPA,Sierra Nevada Brewing Co.,IPA,7.2,65,"water, barley, hops, yeast","hoppy, piney, citrusy, bitter","grilled meats, spicy foods, cheese","Sierra Nevada Torpedo Extra IPA is a bold and hoppy IPA with a piney and citrusy bitterness, making it an excellent pairing with grilled meats, spicy foods, and strong cheeses"
Alaskan Amber,Alaska Brewing Co.,Amber Ale,5.3,18,"water, barley, hops, yeast","malty, smooth, caramel, slightly sweet","roast chicken, burgers, grilled vegetables","Alaskan Amber is a smooth amber ale with malty, caramel, and slightly sweet notes, making it perfect with roast chicken, burgers, and grilled vegetables"
Green King IPA,Greene King Brewery,IPA,4.7,30,"water, barley, hops, yeast","hoppy, fruity, balanced, refreshing","fish and chips, cheese, grilled meats","Green King IPA is a balanced and refreshing IPA with hoppy and fruity flavors, ideal for pairing with fish and chips, cheese, and grilled meats"
Leffe Blonde,Abbaye de Leffe,Belgian Pale Ale,6.6,22,"water, barley, hops, yeast","fruity, malty, spicy, smooth","chicken dishes, grilled meats, cheese","Leffe Blonde is a smooth Belgian Pale Ale with fruity, malty, and slightly spicy flavors, making it a great match for chicken dishes, grilled meats, and cheese"
Smithwick's Irish Ale,Smithwick's Brewery,Irish Red Ale,5.0,22,"water, barley, hops, yeast","malty, smooth, caramel, slightly bitter","stews, grilled meats, cheese","Smithwicks Irish Ale is a smooth and malty Irish Red Ale with caramel and slightly bitter notes, perfect for pairing with stews, grilled meats, and cheese"
Anchor Liberty Ale,Anchor Brewing Co.,Pale Ale,5.9,35,"water, barley, hops, yeast","hoppy, citrusy, balanced, refreshing","grilled seafood, burgers, cheese","Anchor Liberty Ale is a refreshing pale ale with hoppy and citrusy flavors, perfect for pairing with grilled seafood, burgers, and cheese"
Boddingtons Pub Ale,Boddingtons Brewery,English Pub Ale,4.7,20,"water, barley, hops, yeast","malty, creamy, smooth, slightly bitter","fish and chips, sausages, cheese","Boddingtons Pub Ale is a creamy and malty pub ale with smooth and slightly bitter notes, making it an excellent choice with fish and chips, sausages, and cheese"
BrewDog Elvis Juice,BrewDog,American IPA,6.5,40,"water, barley, hops, yeast, orange peel","citrusy, hoppy, bitter, tropical fruit","grilled meats, cheese, spicy foods","BrewDog Elvis Juice is an American IPA with a citrusy, hoppy, and bitter profile, complemented by tropical fruit flavors, perfect with grilled meats, cheese, and spicy foods"
St. Pauli Girl,Beck's Brewery,Pilsner,4.9,22,"water, barley, hops, yeast","crisp, refreshing, light, slightly bitter","fish, salads, grilled vegetables","St Pauli Girl is a crisp and refreshing pilsner with a light and slightly bitter taste, perfect for pairing with fish, salads, and grilled vegetables"
Amstel Light,Amstel Brewery,Light Lager,3.5,11,"water, barley, hops, yeast","light, crisp, refreshing","light salads, grilled chicken, seafood","Amstel Light is a light and refreshing lager with a crisp taste, making it ideal for pairing with light salads, grilled chicken, and seafood"
Spaten Optimator,Spaten Brewery,Doppelbock,7.6,24,"water, barley, hops, yeast","malty, rich, sweet, caramel","roasted meats, grilled sausages, rich stews","Spaten Optimator is a rich and malty Doppelbock with sweet caramel flavors, making it ideal for pairing with roasted meats, grilled sausages, and rich stews"
Krombacher Pils,Krombacher Brewery,Pilsner,4.8,30,"water, barley, hops, yeast","crisp, refreshing, hoppy, slightly bitter","fish, salads, light sandwiches","Krombacher Pils is a crisp and refreshing pilsner with hoppy and slightly bitter notes, perfect for pairing with fish, salads, and light sandwiches"
Franziskaner Original,Franziskaner Brewery,Hefeweizen,5.0,14,"water, barley, hops, yeast","fruity, banana, clove, smooth","grilled chicken, seafood, salads","Franziskaner Original is a smooth Hefeweizen with fruity banana and clove flavors, perfect for pairing with grilled chicken, seafood, and fresh salads"
Guinness Foreign Extra Stout,Guinness Brewery,Stout,7.5,55,"water, barley, hops, yeast","roasted, bitter, chocolate, coffee","steak, chocolate desserts, strong cheeses","Guinness Foreign Extra Stout is a robust and roasted stout with bitter chocolate and coffee notes, making it perfect with steak, chocolate desserts, and strong cheeses"
Weihenstephaner Hefeweissbier,Weihenstephan Brewery,Hefeweizen,5.4,15,"water, barley, hops, yeast","banana, clove, smooth, spicy","grilled meats, schnitzel, cheese","Weihenstephaner Hefeweissbier is a smooth and spicy Hefeweizen with banana and clove flavors, ideal for pairing with grilled meats, schnitzel, and cheese"
Deschutes Black Butte Porter,Deschutes Brewery,Porter,5.2,30,"water, barley, hops, yeast","chocolate, coffee, roasted, smooth","burgers, grilled meats, chocolate desserts","Deschutes Black Butte Porter is a smooth and roasted porter with chocolate and coffee flavors, making it perfect for burgers, grilled meats, and chocolate desserts"
Duvel Belgian Golden Ale,Duvel Moortgat Brewery,Belgian Golden Ale,8.5,38,"water, barley, hops, yeast","fruity, hoppy, spicy, slightly sweet","seafood, grilled vegetables, cheese","Duvel Belgian Golden Ale is a fruity and hoppy ale with a spicy and slightly sweet profile, ideal for pairing with seafood, grilled vegetables, and cheese"
La Fin Du Monde,Unibroue Brewery,Belgian Tripel,9.0,19,"water, barley, hops, yeast","fruity, spicy, malty, smooth","grilled meats, spicy dishes, cheese","La Fin Du Monde is a smooth and fruity Belgian Tripel with spicy and malty flavors, making it perfect with grilled meats, spicy dishes, and cheese"
Bell's Oberon Ale,Bell's Brewery,American Wheat Ale,5.8,30,"water, barley, hops, yeast","fruity, malty, smooth, citrusy","grilled chicken, fish tacos, salads","Bells Oberon Ale is a smooth and fruity American Wheat Ale with malty and citrusy flavors, ideal for pairing with grilled chicken, fish tacos, and salads"
Sierra Nevada Celebration Ale,Sierra Nevada Brewing Co.,American IPA,6.8,65,"water, barley, hops, yeast","hoppy, piney, citrusy, bitter","grilled meats, spicy foods, cheese","Sierra Nevada Celebration Ale is a bold IPA with hoppy, piney, and citrusy flavors, making it an excellent pairing with grilled meats, spicy foods, and cheese"
Rogue Dead Guy Ale,Rogue Ales,Maibock,6.6,40,"water, barley, hops, yeast","malty, sweet, hoppy, rich","grilled meats, cheddar cheese, spicy sausages","Rogue Dead Guy Ale is a rich and malty Maibock with sweet and hoppy flavors, perfect for pairing with grilled meats, cheddar cheese, and spicy sausages"
Bira 91 Blonde Lager,Bira 91,Lager,4.9,18,"water, barley, hops, yeast","crisp, light, refreshing, slightly bitter","light salads, grilled chicken, fish tacos","Bira 91 Blonde Lager is a crisp and refreshing lager with a slight bitterness, perfect for pairing with light salads, grilled chicken, and fish tacos"
Sierra Nevada Bigfoot,Sierra Nevada Brewing Co.,Barleywine,9.6,65,"water, barley, hops, yeast","malty, hoppy, sweet, fruity","blue cheese, roast beef, dark chocolate","Sierra Nevada Bigfoot is a malty and hoppy Barleywine with sweet and fruity notes, making it perfect with blue cheese, roast beef, and dark chocolate"
Abita Amber,Abita Brewing Company,Amber Ale,4.5,25,"water, barley, hops, yeast","malty, smooth, slightly sweet, caramel","grilled burgers, BBQ chicken, fried foods","Abita Amber is a smooth and malty amber ale with caramel and slightly sweet notes, ideal for pairing with grilled burgers, BBQ chicken, and fried foods"
Old Speckled Hen,Morland Brewery,English Pale Ale,5.2,35,"water, barley, hops, yeast","malty, fruity, nutty, biscuity","roast lamb, grilled sausages, cheddar cheese","Old Speckled Hen is a malty and fruity English Pale Ale with nutty and biscuity flavors, perfect for pairing with roast lamb, grilled sausages, and cheddar cheese"
Orval Trappist Ale,Brasserie d'Orval,Belgian Pale Ale,6.2,35,"water, barley, hops, yeast","hoppy, fruity, complex, earthy","grilled meats, aged cheeses, salami","Orval Trappist Ale is a complex and earthy Belgian Pale Ale with hoppy and fruity notes, making it perfect with grilled meats, aged cheeses, and salami"
Pabst Blue Ribbon,Pabst Brewing Company,American Lager,4.7,10,"water, barley, hops, yeast","crisp, clean, light, smooth","burgers, hot dogs, pizza","Pabst Blue Ribbon is a crisp and clean American Lager with light and smooth flavors, perfect for pairing with burgers, hot dogs, and pizza"
Augustiner Edelstoff,Augustiner Bräu,Lager,5.6,25,"water, barley, hops, yeast","crisp, smooth, malty, slightly bitter","grilled sausages, pretzels, roasted chicken","Augustiner Edelstoff is a smooth and malty lager with a slightly bitter finish, ideal for pairing with grilled sausages, pretzels, and roasted chicken"
Flying Dog Raging Bitch IPA,Flying Dog Brewery,IPA,8.3,60,"water, barley, hops, yeast","hoppy, citrusy, piney, bitter","spicy food, BBQ, sharp cheeses","Flying Dog Raging Bitch IPA is a hoppy and citrusy IPA with piney and bitter notes, making it perfect with spicy food, BBQ, and sharp cheeses"
Ballast Point Fathom IPA,Ballast Point Brewing,IPA,6.0,50,"water, barley, hops, yeast","hoppy, tropical, citrusy, bitter","grilled seafood, spicy dishes, tacos","Ballast Point Fathom IPA is a tropical and hoppy IPA with citrusy and bitter notes, ideal for pairing with grilled seafood, spicy dishes, and tacos"
Bière de Beloeil,Brasserie de Beloeil,Belgian Ale,5.6,28,"water, barley, hops, yeast","fruity, malty, spicy, smooth","seafood, grilled vegetables, soft cheeses","Bire de Beloeil is a smooth Belgian Ale with fruity, malty, and spicy flavors, making it perfect for pairing with seafood, grilled vegetables, and soft cheeses"
Magic Hat #9,Magic Hat Brewing Company,Fruit Beer,5.1,25,"water, barley, hops, yeast, peach","fruity, slightly sweet, citrusy, refreshing","light salads, chicken wings, fruitbased desserts","Magic Hat 9 is a fruity and refreshing fruit beer with slightly sweet and citrusy notes, perfect for pairing with light salads, chicken wings, and fruitbased desserts"
Stone IPA,Stone Brewing,IPA,6.9,70,"water, barley, hops, yeast","hoppy, bitter, citrusy, piney","grilled meats, spicy food, blue cheese","Stone IPA is a bold IPA with hoppy, bitter, and citrusy flavors with piney undertones, making it perfect with grilled meats, spicy food, and blue cheese"
Shiner Bock,Shiner Brewery,Bock,4.4,13,"water, barley, hops, yeast","malty, smooth, slightly sweet, nutty","brisket, BBQ, smoked sausages","Shiner Bock is a smooth and malty Bock with slightly sweet and nutty flavors, making it a great pairing with brisket, BBQ, and smoked sausages"
Founders KBS (Kentucky Breakfast Stout),Founders Brewing Co.,Imperial Stout,12.3,60,"water, barley, hops, yeast, coffee, chocolate","coffee, chocolate, bourbon, rich","chocolate cake, steak, aged cheeses","Founders KBS is a rich Imperial Stout with bold coffee, chocolate, and bourbon flavors, ideal for pairing with chocolate cake, steak, and aged cheeses"
Firestone Walker Union Jack IPA,Firestone Walker Brewing Company,IPA,7.0,60,"water, barley, hops, yeast","hoppy, citrusy, piney, bitterness","burgers, spicy tacos, grilled seafood","Firestone Walker Union Jack IPA is a hoppy and citrusy IPA with piney bitterness, making it a great match with burgers, spicy tacos, and grilled seafood"
Great Lakes Dortmunder Gold,Great Lakes Brewing Co.,Dortmunder Lager,5.8,35,"water, barley, hops, yeast","crisp, malty, slightly sweet, smooth","roast chicken, grilled sausages, pretzels","Great Lakes Dortmunder Gold is a crisp and smooth Dortmunder Lager with malty and slightly sweet notes, perfect for pairing with roast chicken, grilled sausages, and pretzels"
